Subject, Start Date, Start Time, End Date, End Time, All Day Event, Description, Location, Private
Advising available,Jan 17 2012,,,,,,,
Instruction begins,Jan 23 2012,,,,,,,
Spring recess,Mar 31 2012,,Apr 8 2012,,,,,
Good Friday [See Religious Observances Policy],Apr 6 2012,,,,,,,
Passover [See Religious Observances Policy],Apr 7 2012,,,,,,,
Classes resume,Apr 9 2012,,,,,,,
Last class day,May 11 2012,,,,,,,
Study day,May 12 2012,,,,,,,
Exams begin,May 13 2012,,,,,,,
Commencement weekend,May 18 2012,,May 20 2012,,,,,
Exams end,May 19 2012,,,,,,,
Official graduation date,May 20 2012,,,,,,,
Last day grades in,May 25 2012,,,,,,,
Faculty contract year end,May 27 2012,,,,,,,
,,,,,,,,
